architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	5	0.15	full_route_recovered	334	400	0.835	0.7949230893668076	0.8700308927157041	0.07757872801747492	0.0786515627811597
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	5	0.3	full_route_recovered	211	400	0.5275	0.47727670488244067	0.5773135216501504	0.03371605560112753	0.033288799059316546
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	15	0.0	full_route_recovered	388	400	0.97	0.9481827845694164	0.9844044470001057	0.13579808883965247	0.13691374348986002
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	15	0.15	full_route_recovered	365	400	0.9125	0.8804098566696346	0.9382964542367502	0.08027627914198536	0.0816635601081408
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	15	0.3	full_route_recovered	298	400	0.745	0.6993188865622982	0.7870136196943998	0.039273642777257076	0.03916069968437605
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	1	0.0	full_route_recovered	204	400	0.51	0.45984312616385775	0.5600078715103507	0.11422128727814368	0.11678584612139425
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	1	0.15	full_route_recovered	72	400	0.18	0.1435875835189853	0.2212256980959571	0.03554645159004133	0.03669159186316235
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	1	0.3	full_route_recovered	25	400	0.0625	0.040851457009555066	0.0908823695513088	-0.01889377952250089	-0.012533565515848898
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	5	0.0	full_route_recovered	221	400	0.5525	0.5022858523794347	0.6019317527054717	0.11606933854887685	0.12149634961377814
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	5	0.15	full_route_recovered	158	400	0.395	0.3467764577225572	0.44478918607847545	0.06155707539419983	0.06494013687836765
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	5	0.3	full_route_recovered	65	400	0.1625	0.12770952317296902	0.2023754536453029	0.015471408682140298	0.01731731564673325
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	15	0.0	full_route_recovered	229	400	0.5725	0.5223821714280461	0.6215372032894608	0.1141680169432573	0.1179698046560054
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	15	0.15	full_route_recovered	172	400	0.43	0.38090910264868966	0.4801342354372686	0.06760796104682995	0.06723288929715646
